Movie ID	Average Rating
1		3.883621
2		3.251231
3		2.992481
4		3.529595
5		3.282258
6		3.526316
7		3.806896
8		3.981539
9		3.870968
10		3.884892
11		3.819767
12		4.396420
13		3.413284
14		3.963370
15		3.769231
16		3.300000
17		3.129496
18		2.785714
19		4.037383
20		3.359223
21		2.824000
22		4.131696
23		4.079137
24		3.428015
25		3.438515
26		3.420561
27		3.079545
28		3.942857
29		2.622093
30		4.000000
31		3.650655
32		3.792793
33		3.443662
34		2.888889
35		2.222222
36		2.062500
37		2.272727
38		3.063584
39		3.250000
40		2.843374
41		3.098039
42		3.801843
43		3.017241
44		3.308411
45		4.008130
46		3.476191
47		3.625000
48		4.105882
49		3.308943
50		4.365276
51		3.491525
52		3.702128
53		2.962366
54		3.201342
55		3.706140
56		4.015652
57		3.966102
58		3.650794
59		4.007936
60		4.041237
61		3.905882
62		3.193877
63		3.150000
64		4.439904
65		3.502994
66		3.540984
67		3.006494
68		3.400000
69		3.853250
70		3.653846
71		3.788520
72		3.158974
73		3.478723
74		3.111111
75		3.000000
76		3.430380
77		3.269768
78		2.420000
79		4.050486
80		2.724490
81		3.559748
82		3.734848
83		4.064394
84		2.923077
85		2.964706
86		3.947598
87		3.940594
88		3.539877
89		4.147700
90		3.028169
91		3.646789
92		3.631579
93		3.737805
94		3.057971
95		3.814371
96		4.004338
97		3.786280
98		4.289198
99		3.677165
100		4.136483
101		3.266055
102		3.162500
103		2.000000
104		1.571429
105		2.561905
106		2.890909
107		3.550000
108		3.010101
109		3.416244
110		2.500000
111		3.469048
112		2.424242
113		4.071429
114		4.447917
115		3.600000
116		3.814433
117		3.678508
118		3.211236
119		4.333333
120		2.231579
121		3.416792
122		2.355828
123		3.238095
124		4.044445
125		3.590297
126		3.777778
127		4.274881
128		3.555556
129		3.825641
130		2.270270
131		3.706294
132		4.071625
133		3.842520
134		4.284790
135		3.930769
136		4.141026
137		3.868217
138		2.740741
139		2.786667
140		3.211111
141		3.504425
142		3.023809
143		3.787879
144		3.857534
145		2.479167
146		2.615385
147		3.436823
148		3.195767
149		3.029412
150		3.837719
151		3.622718
152		3.700787
153		3.761394
154		3.732283
155		3.058824
156		3.943662
157		3.648649
158		2.511364
159		3.166667
160		3.489796
161		3.460606
162		3.525641
163		3.544118
164		3.565022
165		4.050505
166		4.171052
167		2.906542
168		4.066946
169		4.516667
170		4.131147
171		3.831579
172		4.238779
173		4.183071
174		4.264798
175		3.777027
176		3.939675
177		3.828571
178		4.354497
179		3.889552
180		4.063253
181		4.010417
182		3.966967
183		4.009390
184		3.391062
185		4.098591
186		3.809019
187		4.187311
188		3.712644
189		4.080808
190		4.142857
191		4.172070
192		4.062147
193		3.909091
194		4.039106
195		3.904867
196		3.896000
197		4.058824
198		4.057895
199		4.195919
200		3.834921
201		3.511811
202		3.761682
203		3.848485
204		3.805714
205		3.990698
206		3.405406
207		3.762887
208		3.928105
209		3.847518
210		3.937626
211		3.906149
212		3.521429
213		3.969543
214		3.343195
215		3.693038
216		3.898585
217		3.149171
218		3.460630
219		3.194118
220		3.392157
221		3.750000
222		3.631485
223		4.191176
224		3.790323
225		2.897590
226		3.362205
227		3.267206
228		3.819892
229		3.076305
230		3.425676
231		2.672897
232		3.184713
233		3.291667
234		3.752969
235		2.862805
236		3.718750
237		3.690722
238		3.825974
239		3.513393
240		2.802575
241		3.535912
242		3.994318
243		2.417085
244		3.150685
245		3.121951
246		3.902174
247		1.666667
248		3.665272
249		3.206030
250		3.503496
251		4.163934
252		2.961539
253		3.756098
254		2.474747
255		3.401575
256		3.538461
257		3.746237
258		3.789333
259		2.735772
260		2.567010
261		2.552239
262		3.774510
263		1.962963
264		2.773333
265		3.873846
266		2.622642
267		3.272727
268		3.800518
269		3.913866
270		3.618357
271		3.243827
272		4.235880
273		3.516819
274		3.547038
275		3.997567
276		3.674833
277		3.480769
278		3.184783
279		3.272727
280		3.218750
281		3.192488
282		3.722063
283		3.724907
284		3.157191
285		4.244000
286		3.666667
287		3.601770
288		3.418208
289		2.945000
290		3.105634
291		3.404255
292		3.662921
293		3.805310
294		3.173797
295		3.418803
296		3.200000
297		3.947368
298		3.746479
299		2.902655
300		3.632061
301		3.291908
302		4.163755
303		3.668317
304		3.519480
305		3.669231
306		3.936620
307		3.539735
308		3.000000
309		3.022727
310		3.609865
311		3.705882
312		3.132231
313		4.252896
314		1.000000
315		4.081301
316		4.162651
317		3.931507
318		4.495516
319		3.318367
320		4.034483
321		3.117886
322		3.084592
323		2.951613
324		3.136612
325		2.527778
326		3.381818
327		3.402985
328		3.417040
329		3.380282
330		3.062500
331		3.529412
332		3.471429
333		3.621693
334		3.329897
335		2.787879
336		2.575758
337		3.040000
338		2.683453
339		3.205479
340		3.567376
341		3.071429
342		2.902778
343		3.061224
344		3.646342
345		3.420000
346		3.645161
347		3.533654
348		3.261905
349		2.914894
350		3.155172
351		2.766667
352		2.045455
353		2.521739
354		3.471154
355		2.812500
356		3.405406
357		4.289743
358		2.615385
359		3.517241
360		3.200000
361		3.466667
362		2.860465
363		2.750000
364		2.808511
365		3.160000
366		3.285714
367		3.496183
368		1.914894
369		2.641975
370		2.811321
371		3.188119
372		3.537037
373		2.901639
374		2.235294
375		2.027778
376		2.823529
377		2.368421
378		3.713376
379		2.935484
380		3.305085
381		3.493333
382		3.574074
383		2.214286
384		2.780952
385		3.556604
386		2.800000
387		3.329787
388		2.386364
389		3.441860
390		3.066667
391		2.738636
392		3.600000
393		3.413793
394		3.222222
395		2.641975
396		2.779221
397		2.500000
398		2.116279
399		3.335821
400		2.740741
401		2.780702
402		3.454183
403		3.429054
404		3.618705
405		3.321773
406		2.438356
407		2.500000
408		4.517442
409		3.200000
410		3.068085
411		2.923729
412		2.455882
413		2.602564
414		3.568182
415		2.894737
416		3.472528
417		3.045871
418		3.570707
419		3.702899
420		3.634921
421		3.605263
422		2.790698
423		3.798627
424		1.321429
425		3.772358
426		2.901961
427		4.280597
428		3.745946
429		3.906040
430		3.978102
431		3.514286
432		3.779468
433		3.648438
434		3.828571
435		3.927445
436		3.496504
437		1.000000
438		1.250000
439		1.000000
440		1.782609
441		2.600000
442		1.400000
443		3.787234
444		2.728571
445		3.548387
446		2.400000
447		3.434783
448		3.391667
449		2.989011
450		2.300000
451		3.286793
452		2.602150
453		2.043478
454		3.000000
455		3.230769
456		2.271429
457		1.850000
458		3.113636
459		3.820513
460		3.026316
461		3.637255
462		3.847926
463		3.766990
464		3.564103
465		3.519380
466		3.518518
467		3.732394
468		3.316832
469		3.797872
470		3.684849
471		3.604720
472		3.093496
473		3.145833
474		4.238596
475		3.879032
476		3.042735
477		3.209460
478		4.115385
479		4.261539
480		4.313433
481		4.000000
482		3.948187
483		4.438548
484		4.182693
485		3.819672
486		3.860215
487		4.128713
488		4.210526
489		4.129870
490		4.027778
491		3.814433
492		3.820225
493		4.144444
494		4.000000
495		3.640450
496		4.108033
497		3.862745
498		4.164502
499		3.936170
500		3.952381
501		3.452514
502		3.720000
503		3.631579
504		3.823205
505		4.019802
506		3.833333
507		3.820000
508		3.587859
509		3.848649
510		3.928177
511		4.215909
512		3.987952
513		4.323810
514		3.894340
515		4.222580
516		3.943182
517		3.823077
518		3.636364
519		4.126984
520		4.115789
521		3.829670
522		3.811321
523		3.975904
524		4.097222
525		4.046729
526		3.839196
527		3.982517
528		4.112903
529		4.000000
530		4.008696
531		3.896907
532		3.312500
533		3.625000
534		3.222222
535		3.162791
536		3.312500
537		3.651163
538		3.440000
539		2.411765
540		2.459016
541		2.893333
542		2.500000
543		3.548387
544		3.125000
545		1.687500
546		3.062338
547		3.375000
548		2.062500
549		3.535714
550		3.243590
551		2.433333
552		2.812500
553		3.329787
554		2.797203
555		2.000000
556		2.470588
557		3.192308
558		3.643564
559		3.136364
560		2.735294
561		3.011905
562		3.240000
563		2.418605
564		2.000000
565		2.700000
566		3.550360
567		2.789474
568		3.607038
569		2.639175
570		3.075949
571		2.604651
572		2.738095
573		2.978723
574		2.157895
575		2.492064
576		3.041667
577		2.262295
578		3.140741
579		2.600000
580		3.469388
581		3.129412
582		3.583333
583		2.980769
584		3.595041
585		2.444444
586		2.645833
587		3.600000
588		3.795987
589		4.074627
590		2.071429
591		3.579926
592		3.428571
593		3.125000
594		2.571429
595		3.052083
596		3.378238
597		3.175497
598		2.142857
599		1.000000
600		2.666667
601		4.064516
602		3.630137
603		4.382911
604		3.966667
605		3.348837
606		4.048077
607		3.928571
608		3.928571
609		3.555556
610		3.677419
611		4.062500
612		4.041667
613		4.081081
614		3.794521
615		4.068965
616		3.430108
617		3.807692
618		3.640000
619		3.218750
620		3.125000
621		2.705882
622		3.321429
623		2.931035
624		3.161290
625		3.357723
626		2.833333
627		3.235294
628		3.490119
629		3.301724
630		3.255319
631		3.649425
632		3.833333
633		4.092593
634		3.593750
635		2.694444
636		3.226277
637		2.931035
638		3.686567
639		3.700000
640		2.944882
641		4.145833
642		3.465116
643		3.200000
644		3.716981
645		3.846154
646		3.789474
647		4.160378
648		4.080808
649		3.402778
650		3.537037
651		4.048193
652		3.930233
653		3.940000
654		4.120536
655		3.839763
656		3.985294
657		4.236453
658		3.356522
659		4.072289
660		3.751092
661		4.086614
662		3.396825
663		3.858757
664		3.577465
665		2.827586
666		2.333333
667		2.111111
668		2.222222
669		1.666667
670		2.901961
671		3.628572
672		2.715790
673		3.564516
674		2.929577
675		3.475610
676		3.275000
677		3.000000
678		2.838323
679		3.031646
680		2.500000
681		2.365854
682		3.021583
683		2.295775
684		3.765873
685		3.338983
686		3.675676
687		2.163461
688		1.892308
689		3.088710
690		3.489627
691		3.500000
692		3.626050
693		3.666667
694		4.060606
695		2.833333
696		3.155738
697		3.442623
698		2.846154
699		3.671141
700		2.750000
701		3.875000
702		2.923077
703		3.571429
704		3.028571
705		3.965000
706		2.750000
707		3.932039
708		3.448718
709		3.962025
710		3.564103
711		4.000000
712		3.053333
713		3.504348
714		3.263158
715		3.293233
716		3.162791
717		2.808000
718		3.769231
719		2.377778
720		3.063492
721		3.461539
722		2.872093
723		3.148936
724		3.491228
725		2.680000
726		2.428571
727		3.411765
728		3.059701
729		3.478632
730		3.473684
731		3.114754
732		3.660650
733		3.086957
734		2.487805
735		3.871287
736		3.946429
737		3.022222
738		2.808511
739		3.312000
740		3.551020
741		3.382716
742		3.655000
743		1.931034
744		3.464789
745		3.857143
746		3.603658
747		3.434211
748		3.154661
749		3.185185
750		3.817204
751		3.431095
752		3.271186
753		3.687500
754		3.390244
755		3.337748
756		2.931937
757		2.714286
758		1.821429
759		2.375000
760		2.710145
761		3.049180
762		3.431953
763		3.368421
764		2.775000
765		2.729167
766		3.083333
767		2.266667
768		3.133333
769		2.491803
770		3.392857
771		2.666667
772		3.194030
773		2.920000
774		3.022727
775		2.684211
776		3.400000
777		1.285714
778		3.522936
779		2.645833
780		3.010309
781		3.343750
782		2.461539
783		2.660000
784		1.000000
785		3.200000
786		2.523809
787		3.277778
788		2.000000
789		3.625000
790		2.870968
791		2.461539
792		3.717742
793		3.562500
794		3.671642
795		2.352941
796		3.129630
797		3.068182
798		2.153846
799		3.000000
800		2.810811
801		2.807692
802		2.728814
803		2.600000
804		3.000000
805		3.692308
806		3.472222
807		2.636364
808		2.872340
809		2.954545
810		2.941176
811		3.962963
812		3.222222
813		3.900000
814		5.000000
815		3.236994
816		2.333333
817		2.250000
818		2.815789
819		2.646154
820		2.821918
821		3.151515
822		2.833333
823		2.813008
824		2.690141
825		3.040000
826		2.589147
827		2.793103
828		2.800000
829		2.652174
830		1.000000
831		2.500000
832		2.666667
833		3.246753
834		2.083333
835		3.750000
836		3.810811
837		4.000000
838		2.800000
839		3.000000
840		2.641975
841		2.784810
842		3.157895
843		2.878049
844		3.475410
845		3.461240
846		3.109375
847		3.695122
848		3.416667
849		2.721519
850		4.000000
851		3.800000
852		1.000000
853		3.777778
854		3.173913
855		3.718446
856		3.759259
857		3.000000
858		1.000000
859		2.772727
860		2.260870
861		2.200000
862		2.285714
863		3.864865
864		3.243902
865		3.515152
866		3.292135
867		4.000000
868		3.571429
869		3.052632
870		2.800000
871		2.381818
872		3.034483
873		3.023438
874		3.392857
875		2.772152
876		2.753425
877		2.548780
878		2.595745
879		3.273632
880		3.111111
881		2.986301
882		3.346154
883		3.368421
884		3.181818
885		2.227273
886		3.050633
887		3.596154
888		3.619048
889		3.368421
890		1.887324
891		2.625000
892		2.753247
893		2.545455
894		1.866667
895		3.176101
896		3.776119
897		1.500000
898		3.263158
899		3.312500
900		3.672131
901		1.894737
902		3.787879
903		3.250000
904		3.300000
905		3.230769
906		3.161290
907		2.333333
908		2.517241
909		3.636364
910		2.166667
911		2.500000
912		3.000000
913		3.000000
914		2.875000
915		3.800000
916		3.214286
917		3.400000
918		3.100000
919		3.783784
920		2.125000
921		3.938462
922		3.843137
923		4.135802
924		3.379845
925		3.294118
926		2.768212
927		3.250000
928		3.152439
929		2.716667
930		2.775862
931		2.253012
932		3.047619
933		2.466667
934		2.867347
935		3.111111
936		3.854167
937		3.377358
938		2.864865
939		3.583333
940		2.244898
941		3.094594
942		3.446154
943		3.433333
944		3.046875
945		3.936508
946		3.075269
947		3.111111
948		2.117647
949		3.345794
950		3.023809
951		2.800000
952		3.231884
953		3.218750
954		3.562500
955		3.397260
956		3.609375
957		2.333333
958		3.695652
959		3.445652
960		3.361111
961		3.500000
962		3.031250
963		4.262295
964		3.357143
965		3.615385
966		4.184210
967		3.166667
968		3.689655
